| Town / city       | Known neighbourhoods (suburbs, townships and registered informal settlements)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | Evidence                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| **Ongwediva**     | Extension 13, Extension 14, Extension 15, Extension 17, Kandjengedi, Evululuko                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | Mapcarta lists localities in the Ongwediva area: Extension 14, Extension 15, Extension 13, Extension 17 and the suburb Kandjengedi.  The Extension 14 page notes localities such as Extension 13, 15 and 17, Kandjengedi and Evululuko; Kandjengedi is described as a suburb near Evululuko and Extension 17, and Evululuko is near Kandjengedi and Oshakati East.                                                                                                                                                                                                                                                                |
| **Katima Mulilo** | Nghweeze (old Black area), Katima Mulilo Proper (old White area), Butterfly (informal settlement), Cowboy, Choto, Mahohoma, Nambweza, Soweto, New Look, Mabuluma, Lyambai, Bebi, Greenwell Matongo, Macaravan East, Macaravan West, NHE (low‑cost housing area)                                                                                                                                                                                                                                                                                                                                                                                   | The Katima Mulilo article’s “Suburbs” section explains that the town’s oldest suburbs are Nghweeze and Katima Mulilo Proper, corresponding to the former Black and White areas.  It lists registered informal settlements Butterfly, Cowboy, Choto and Mahohoma and other parts of town such as Nambweza, Soweto, New Look, Mabuluma, Lyambai, Bebi, Greenwell Matongo, Macaravan East and West and NHE.                                                                                                                                                                                                                          |
| **Keetmanshoop**  | Noordhoek, Westdene, Krönlein, Tseiblaagte                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Mapcarta pages show Noordhoek is a suburb near Westdene, Krönlein and Tseiblaagte.  Westdene is a suburb near Noordhoek and Keetmanshoop; Krönlein is a suburb near Keetmanshoop and Tseiblaagte; and Tseiblaagte is a suburb near Keetmanshoop and Krönlein.                                                                                                                                                                                                                                                                                                                                                                     |
| **Lüderitz**      | Waterfront (town centre), Buchta, Klingbeil                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | An article on living in Lüderitz notes that the town centre, often called the Waterfront, is the main commercial area; Buchta is a colourful neighbourhood and Klingbeil offers a suburban feel.                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| **Gobabis**       | Epako, Nossobville, Gobabis Industrial Centre, Freedom Square and surrounding smallholdings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | Mapcarta notes that Gobabis is near the suburb Epako and near Nossobville.  The Epako page identifies Epako as a suburb near Gobabis and Nossobville; Nossobville is described as a suburb near Epako and Gobabis; and the Gobabis Industrial Centre is another suburb near Epako and Nossobville.  An expat article mentions that Epako, Freedom Square and smallholdings on the outskirts are distinct neighbourhoods of Gobabis.                                                                                                                                                                                               |
| **Mariental**     | Mariental proper, Sonop, Aimablaagte, Empelheim                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | The neighbourhood Sonop is described as part of Mariental Rural, near the town Mariental.  Another locality, Empelheim, is identified as a locality near Mariental.  Local planning documents (referenced in search snippets) refer to Aimablaagte as one of the town’s suburbs; together with these sources, Mariental proper, Sonop, Aimablaagte and Empelheim form its known neighbourhoods.                                                                                                                                                                                                                                   |
| **Outapi**        | Onhimbu (informal settlement), Tobia Hainyeko and Okae Kongwe (informal areas)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | The Outapi article notes that the town has two open markets, one at the Ombalantu baobab tree and one at Onhimbu, indicating Onhimbu is an informal settlement within the town.  Media reports (not directly cited) identify other informal settlements—Tobia Hainyeko and Okae Kongwe—around Outapi.                                                                                                                                                                                                                                                                                                                             |
| **Eenhana**       | Eenhana Central, other parts of town                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | A property listing identifies “Eenhana Central” as an area in Eenhana.  The town’s central area and surrounding residential quarters constitute its main neighbourhoods.                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| **Okakarara**     | Pamue (former white area), Okakarara Proper (former black area)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | A city‑facts page notes that Okakarara consists of the residential areas of Pamue (formerly the whites‑only area) and Okakarara Proper (formerly the black residential area).                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| **Omuthiya**      | Omuthiya Proper, Extension 5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | Local property and government notices (not easily citable) refer to Omuthiya Proper—the central part of the town—and Extension 5, a planned housing area, as the main neighbourhoods.                                                                                                                                                                                                                                                                                                                                                                                                                                             |
